userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
24152,,77,52,8,7,,,,,,,,,,,,,,,,,,,24152,0,18,17,9,2,0,0,24152,,8.333,20.000,,,,,24152,,6,4,,,,
5759,80,143,132,79,195,214,251,5759,,,,,,,1,,,,,,,,,5759,12,18,17,12,25,17,25,5759,,,100.000,,150.000,100.000,,5759,,,2,,2,2,
21018,7,,,,,,,,,,,,,,,,,,,,,,,21018,17,13,14,37,30,21,19,21018,25.000,,,,,,,21018,1,,,,,,
25665,,,,,15,218,171,,,,,,,,,,,,,,,,,25665,,,,,15,19,20,25665,,,,,,,25.000,25665,,,,,,,19
9638,267,334,284,256,502,344,186,,,,,,,,,,,,,,,,,9638,22,27,15,22,21,22,16,9638,,,,0.000,,,,9638,,,,1,,,
25084,,,,99,199,221,221,,,,,,,,,,,,,,,,,25084,,,0,24,23,22,24,25084,,,,,0.000,,,25084,,,,,2,,
24887,,,,26,91,75,21,,,,,,,,,,,,,,,,,24887,,,,12,17,22,12,24887,,,,30.000,17.000,25.000,,24887,,,,1,20,3,
24681,,,80,242,555,230,470,,,,,,,,,,,,,,,,,24681,,,19,32,32,24,39,24681,,,20.000,,,,,24681,,,4,,,,
25403,,,,43,318,454,245,,,,,,,,,25403,,,,,,1,,25403,,,,0,23,23,21,25403,,,,0.000,25.000,,,25403,,,,1,3,,
23992,217,545,414,240,259,176,176,,,,,,,,,,,,,,,,,23992,11,34,33,30,26,21,18,23992,,,22.857,9.000,22.500,,15.769,23992,,,51,11,7,,45
23485,442,284,688,729,361,402,533,23485,1,1,,,,,,23485,,,,,1,2,,23485,20,13,20,22,16,21,23,23485,,,200.000,100.000,150.000,,10.000,23485,,,1,1,2,,2
9711,316,453,173,160,118,197,366,,,,,,,,,,,,,,,,,9711,26,23,21,19,17,21,29,9711,0.000,23.125,,13.750,0.000,,30.333,9711,1,8,,4,3,,29
21627,100,155,88,127,190,85,227,21627,,,,,,,1,,,,,,,,,21627,23,29,18,15,24,18,29,21627,,12.500,,5.000,16.666,,15.000,21627,,9,,2,10,,13
22114,243,257,264,285,175,171,305,22114,1,,,,,,,,,,,,,,,22114,43,40,41,38,42,42,41,22114,0.000,40.000,32.500,10.000,,,27.500,22114,3,54,31,4,,,21
11928,171,153,144,160,170,159,172,11928,2,1,6,,2,1,1,11928,1,1,1,,6,2,2,11928,41,48,46,43,43,42,43,11928,,26.250,20.000,10.000,25.000,,18.750,11928,,5,2,4,7,,8
9773,,,,101,93,30,16,9773,,,,,1,,,,,,,,,,,9773,,,,10,26,18,12,9773,,,,17.500,25.000,,,9773,,,,13,4,,
9270,156,135,172,213,211,93,107,,,,,,,,,,,,,,,,,9270,21,27,19,26,22,18,16,9270,6.000,20.000,,33.125,,,,9270,1,10,,12,,,
22767,546,653,627,535,684,840,440,,,,,,,,,,,,,,,,,22767,12,19,6,10,12,19,14,22767,6.250,,,30.000,,,,22767,6,,,1,,,
23342,642,689,709,414,256,239,308,23342,2,4,2,,,1,,23342,3,5,2,8,,,2,23342,25,31,24,25,20,17,24,23342,50.000,25.000,200.000,33.333,150.000,,0.000,23342,2,2,1,7,2,,1
21132,14,17,32,21,28,69,171,21132,1,,,,,,,,,,,,,,,21132,12,5,2,6,6,6,17,21132,,,,,,,12.000,21132,,,,,,,8
8106,36,60,42,32,17,4,42,,,,,,,,,,,,,,,,,8106,22,26,29,19,20,6,28,8106,,25.000,,,,,10.000,8106,,2,,,,,1
16772,197,130,142,74,80,115,68,,,,,,,,,16772,,,2,,,,,16772,17,8,13,10,15,19,10,16772,,,16.250,26.666,,12.500,,16772,,,8,9,,3,
6948,525,866,612,571,527,439,823,,,,,,,,,,,,,,,,,6948,30,34,26,24,25,18,32,6948,11.000,,18.333,21.250,,30.000,15.000,6948,8,,4,8,,1,36
21221,205,119,109,147,204,197,219,,,,,,,,,,,,,,,,,21221,22,19,10,12,25,20,25,21221,37.500,,200.000,45.000,,40.000,,21221,6,,1,2,,4,
17546,104,96,49,6,,,,,,,,,,,,,,,,,,,,17546,17,14,15,3,0,0,0,17546,11.500,25.000,,,,,,17546,14,6,,,,,
19997,351,247,203,104,180,117,97,,,,,,,,,19997,1,2,1,,,,,19997,45,27,27,23,25,15,25,19997,,32.500,21.000,40.000,27.857,22.000,25.000,19997,,2,17,4,11,5,14
12240,116,69,124,114,171,111,202,12240,,,,,,1,,12240,,,,1,,,,12240,8,4,12,5,8,10,20,12240,,,33.125,0.000,,18.750,25.312,12240,,,13,2,,7,39
22462,226,237,521,313,333,347,490,22462,,,1,,,,,22462,,,,,1,,,22462,19,13,22,9,16,17,24,22462,22.000,,,57.500,25.000,,26.200,22462,4,,,4,1,,74
23932,120,149,83,91,140,114,278,,,,,,,,,,,,,,,,,23932,25,21,22,25,30,25,24,23932,57.500,21.666,0.000,,,,15.833,23932,8,5,2,,,,27
23291,133,112,53,126,160,107,145,23291,,,,1,,,,,,,,,,,,23291,16,6,7,9,22,19,18,23291,,16.000,,28.500,28.750,21.250,34.000,23291,,8,,29,10,11,7
23215,106,99,58,66,110,173,68,23215,,,,,1,,,,,,,,,,,23215,23,33,25,23,28,37,18,23215,,25.000,7.500,,,20.000,21.666,23215,,5,2,,,2,11
20868,166,110,97,126,199,144,254,,,,,,,,,20868,,,,,1,,,20868,28,35,21,24,30,32,35,20868,14.666,,,,,,,20868,4,,,,,,
24002,29,125,106,76,82,212,233,24002,,1,1,1,1,1,1,,,,,,,,,24002,9,27,22,18,20,32,26,24002,25.000,7.500,20.000,4.666,,,20.750,24002,1,7,3,4,,,119
16553,50,82,54,65,108,75,96,,,,,,,,,,,,,,,,,16553,10,28,16,13,22,21,19,16553,25.000,,,,,25.000,,16553,2,,,,,1,
18180,68,27,62,47,65,58,206,,,,,,,,,,,,,,,,,18180,18,14,13,15,18,14,25,18180,25.000,,28.125,31.800,16.000,,25.357,18180,3,,39,7,10,,64
23455,247,284,142,44,73,416,360,,,,,,,,,,,,,,,,,23455,26,32,30,15,15,35,42,23455,25.000,,,7.000,15.000,30.000,17.333,23455,4,,,3,3,3,10
21421,47,161,131,161,203,148,173,21421,,,,,2,,,,,,,,,,,21421,6,25,23,23,33,20,31,21421,,10.000,,,17.500,40.000,22.222,21421,,1,,,2,1,17
13705,175,138,85,146,76,101,192,13705,,,,1,,,,,,,,,,,,13705,28,27,26,20,24,25,20,13705,25.000,,,39.166,,,30.526,13705,1,,,48,,,28
19126,148,98,221,42,20,7,,,,,,,,,,,,,,,,,,19126,18,20,24,12,18,18,15,19126,3.571,,20.000,2.142,,,,19126,8,,4,9,,,
11309,92,73,49,57,91,59,,,,,,,,,,,,,,,,,,11309,6,7,9,9,8,1,0,11309,,,,41.250,,,,11309,,,,8,,,
6684,,,187,519,258,244,274,6684,,,,7,1,,,,,,,,,,,6684,,,7,24,24,25,26,6684,,,,,,,17.500,6684,,,,,,,11
21946,503,175,107,309,235,350,328,21946,,,,,,,2,21946,2,4,,,,1,2,21946,32,7,9,30,21,21,32,21946,25.000,35.000,,,,30.000,25.000,21946,3,6,,,,2,2
14151,125,123,200,100,108,65,82,14151,,,1,,,,,,,,,,,,,14151,31,30,33,26,27,23,28,14151,,,15.000,20.000,25.000,,25.000,14151,,,1,8,3,,14
12976,448,484,283,479,381,506,506,12976,1,2,,2,,1,2,12976,,2,,,,,2,12976,40,46,43,43,35,41,42,12976,,,26.250,44.000,,25.500,10.000,12976,,,12,15,,13,1
14655,270,148,162,97,299,146,54,14655,,1,,,,,,,,,,,,,,14655,32,28,23,20,30,19,20,14655,25.000,,12.500,0.000,13.333,17.500,,14655,1,,7,1,5,13,
25045,,,,107,718,301,139,25045,,,,,,,1,,,,,,,,,25045,,,,13,30,31,22,25045,,,,15.000,,25.000,,25045,,,,1,,8,
23468,105,49,130,57,222,81,97,,,,,,,,,,,,,,,,,23468,21,14,23,16,18,16,14,23468,6.000,,,7.000,5.000,,,23468,3,,,3,1,,
24124,83,578,379,281,435,319,379,,,,,,,,,,,,,,,,,24124,12,38,36,37,38,40,37,24124,0.000,30.000,,0.000,,,,24124,3,4,,1,,,
24841,,,,30,25,3,,24841,,,,,1,,,,,,,,,,,24841,,,0,4,6,5,0,24841,,,,22.500,,,,24841,,,,4,,,
22469,127,78,161,94,100,2,,,,,,,,,,22469,,,1,,1,,,22469,17,9,17,11,13,0,0,22469,,,16.000,,,,,22469,,,6,,,,
23531,453,534,499,348,634,570,466,,,,,,,,,,,,,,,,,23531,24,22,22,21,29,23,13,23531,0.000,,100.000,43.333,150.000,35.000,,23531,1,,2,4,2,5,
18462,78,111,52,10,26,106,35,,,,,,,,,,,,,,,,,18462,24,23,12,7,16,25,21,18462,,37.500,20.000,,20.000,,,18462,,40,4,,8,,
6021,42,117,135,122,139,178,271,6021,,,,,2,3,1,6021,,1,,,2,,1,6021,15,35,30,32,35,38,38,6021,,29.444,,30.833,25.000,21.428,30.000,6021,,38,,7,4,14,11
25646,,,,,40,24,23,,,,,,,,,,,,,,,,,25646,,,,,7,5,3,25646,,,,,,,25.000,25646,,,,,,,2
10437,233,190,82,234,209,258,151,10437,1,,,,1,1,1,10437,,,,,,,1,10437,31,31,21,22,29,26,25,10437,25.000,,,28.500,25.000,21.250,30.000,10437,1,,,39,3,7,4
22434,265,211,178,208,151,176,48,,,,,,,,,,,,,,,,,22434,19,8,12,18,5,12,4,22434,25.000,16.250,7.500,30.833,,25.000,,22434,5,9,3,11,,8,
11629,65,85,68,35,51,124,66,11629,,,,1,,,,,,,,,,,,11629,24,25,24,21,13,26,28,11629,,0.000,,0.000,,,11.250,11629,,5,,2,,,8
24017,,127,124,42,26,34,59,24017,,,,,,1,1,,,,,,,,,24017,0,14,12,13,9,14,15,24017,,,7.500,0.000,,,,24017,,,2,1,,,
19813,239,286,140,233,246,336,397,19813,1,,,,,,,19813,1,,,,2,,,19813,24,19,13,28,21,21,27,19813,,,,57.500,,,10.000,19813,,,,2,,,1
24612,,,142,189,105,109,142,24612,,,,1,,,,,,,,,,,,24612,,,10,11,18,14,16,24612,,,,100.000,0.000,,0.000,24612,,,,1,1,,1
12876,199,94,183,359,175,362,799,,,,,,,,,,,,,,,,,12876,11,2,14,16,14,22,33,12876,9.500,,,,,,10.000,12876,4,,,,,,2
23524,151,63,123,25,62,44,143,23524,1,,2,,,,,23524,2,,2,,,,1,23524,27,23,29,24,26,24,25,23524,25.000,,15.000,,,40.000,27.058,23524,2,,2,,,2,28
26036,,,,,,89,154,,,,,,,,,,,,,,,,,26036,,,,,0,10,29,26036,,,,,,23.157,10.000,26036,,,,,,49,1
17374,196,455,337,178,198,202,330,17374,1,1,,,,,1,17374,4,2,,2,,1,2,17374,34,34,24,17,18,36,29,17374,,,16.250,0.000,,,19.000,17374,,,14,2,,,24
5995,157,123,178,221,312,157,160,,,,,,,,,5995,,,,,1,,,5995,25,21,26,27,30,20,21,5995,25.000,,25.000,15.000,12.500,20.000,7.500,5995,2,,2,9,4,3,7
21363,419,252,109,127,194,128,188,21363,2,,,,1,,,,,,,,,,,21363,35,37,26,32,34,22,28,21363,,21.666,,,,,,21363,,7,,,,,
10070,154,205,244,197,80,213,237,,,,,,,,,,,,,,,,,10070,25,21,33,21,16,22,23,10070,25.000,,,,,,,10070,1,,,,,,
16972,225,145,123,227,66,31,,,,,,,,,,,,,,,,,,16972,11,8,6,12,6,2,0,16972,,,200.000,30.000,,,,16972,,,1,3,,,
6332,442,776,869,615,871,1117,752,,,,,,,,,6332,1,,,,,,,6332,29,41,30,31,33,32,25,6332,25.000,20.714,29.166,32.000,28.750,22.500,25.000,6332,2,11,60,6,4,12,3
21392,6,115,41,18,2,,,,,,,,,,,,,,,,,,,21392,14,7,10,5,0,0,0,21392,,24.166,20.000,25.000,,,,21392,,58,11,2,,,
25238,,,,1,222,216,320,25238,,,,,,3,1,,,,,,,,,25238,,,,0,12,19,16,25238,,,,,0.000,,,25238,,,,,2,,
9717,151,244,218,362,366,107,96,9717,,,,1,,,,,,,,,,,,9717,19,22,22,27,27,19,18,9717,25.000,,7.000,4.666,,,10.000,9717,1,,4,4,,,1
16393,135,379,164,72,204,103,52,16393,,6,1,,1,1,3,,,,,,,,,16393,30,38,22,25,26,23,26,16393,,,25.000,65.000,25.000,40.000,21.250,16393,,,2,5,2,1,12
22619,403,190,37,13,33,66,83,22619,2,,,,1,,,,,,,,,,,22619,25,18,12,11,14,15,14,22619,25.000,8.000,7.000,7.000,5.000,,1.000,22619,1,1,4,3,1,,1
22676,184,349,281,549,603,172,115,,,,,,,,,,,,,,,,,22676,7,21,8,20,28,9,10,22676,,15.000,,,,,,22676,,1,,,,,
25340,,,,13,262,265,310,,,,,,,,,,,,,,,,,25340,,,,0,13,11,14,25340,,,,57.500,91.666,,15.000,25340,,,,3,5,,7
22683,86,73,80,98,65,44,108,,,,,,,,,,,,,,,,,22683,14,10,6,14,8,8,17,22683,22.000,25.000,,5.000,,,15.000,22683,2,2,,6,,,3
24834,,,,22,74,229,55,,,,,,,,,,,,,,,,,24834,,,0,6,11,18,18,24834,,,,20.000,8.333,0.000,,24834,,,,5,3,1,
23816,26,426,539,,,,,,,,,,,,,23816,,,1,,,,,23816,7,3,7,0,,,,23816,,13.333,100.000,,,,,23816,,11,2,,,,
24572,,41,123,97,95,203,97,24572,,,,,,1,,,,,,,,,,24572,,23,22,23,21,36,23,24572,,25.000,,,,40.000,,24572,,4,,,,1,
7350,96,113,177,241,110,115,158,7350,,,,2,,,,,,,,,,,,7350,26,29,33,27,20,23,29,7350,25.000,28.750,18.750,30.000,28.750,29.285,10.000,7350,1,5,4,10,4,8,4
12777,,11,6,22,1,17,4,12777,,,,2,,,,,,,,,,,,12777,13,20,17,20,13,14,10,12777,,25.000,,25.000,,25.000,,12777,,2,,2,,1,
18943,193,144,138,182,380,315,408,18943,,,,,,1,,,,,,,,,,18943,22,19,22,26,37,31,44,18943,,21.000,25.000,0.000,16.875,21.666,0.000,18943,,7,2,1,8,3,3
25638,,,,,46,437,443,25638,,,,,,1,1,,,,,,,,,25638,,,,,8,21,24,25638,,,,,,18.333,18.333,25638,,,,,,8,3
16348,170,417,129,200,237,283,208,16348,,,,1,,,,,,,,,,,,16348,39,42,29,35,39,35,37,16348,,37.000,20.000,25.000,29.285,23.333,8.750,16348,,15,5,3,13,6,8
17551,586,621,476,627,532,379,373,17551,,1,1,1,,1,,,,,,,,,,17551,41,38,36,42,36,30,27,17551,,21.000,25.000,20.000,25.000,17.000,34.000,17551,,14,1,5,4,6,10
25801,,,,,58,136,88,25801,,,,,1,2,1,,,,,,,,,25801,,,,,8,27,27,25801,,,,,16.250,30.000,22.500,25801,,,,,6,2,4
14913,290,184,180,216,249,236,283,,,,,,,,,,,,,,,,,14913,23,20,13,12,23,21,25,14913,25.000,,200.000,43.333,,,,14913,2,,1,9,,,
23659,18,154,172,128,118,150,,,,,,,,,,,,,,,,,,23659,8,17,10,18,15,19,0,23659,25.000,21.000,14.785,4.666,,,,23659,2,8,19,5,,,
18006,113,96,149,240,146,166,167,18006,,,1,,,2,,18006,3,,4,7,,4,,18006,39,35,38,32,34,32,34,18006,,,,,,,10.000,18006,,,,,,,1
19479,330,361,335,205,365,196,521,,,,,,,,,19479,,,,,1,,,19479,28,23,28,19,30,27,38,19479,25.000,,10.000,33.000,10.000,,22.000,19479,4,,1,8,1,,13
8311,151,127,133,91,223,172,162,8311,1,,,,,1,3,8311,3,,3,1,1,1,,8311,40,37,35,30,39,34,37,8311,,32.500,18.333,29.000,25.000,21.666,13.333,8311,,21,5,7,5,9,5
22165,94,123,69,57,147,54,325,22165,,,,,,1,,,,,,,,,,22165,22,37,28,22,31,29,45,22165,25.000,,,,,,10.000,22165,3,,,,,,1
7623,93,104,125,168,275,227,144,7623,,1,,,4,3,1,7623,,,,,3,,1,7623,17,17,20,12,27,17,16,7623,0.000,,,,,,10.000,7623,4,,,,,,3
24489,,20,44,122,189,334,133,,,,,,,,,,,,,,,,,24489,,8,10,13,22,23,21,24489,,,0.000,30.000,,0.000,,24489,,,1,5,,10,
16682,75,103,39,84,13,66,54,,,,,,,,,,,,,,,,,16682,12,17,11,12,7,6,15,16682,,21.666,32.500,20.000,,20.000,,16682,,3,2,3,,8,
22512,60,60,110,76,66,45,49,,,,,,,,,,,,,,,,,22512,16,25,24,18,18,22,17,22512,25.000,,,8.000,25.000,,,22512,1,,,1,2,,
24449,,,153,129,118,100,195,,,,,,,,,,,,,,,,,24449,,,24,22,23,20,27,24449,,,20.000,30.000,,,22.500,24449,,,2,3,,,5
24508,,3,792,771,737,193,608,24508,,,4,3,3,,,24508,,,3,,,,,24508,,0,22,29,41,30,43,24508,,,24.000,100.000,25.000,,10.000,24508,,,11,1,1,,2
10295,8,20,49,72,51,35,39,10295,,,1,,,,,,,,,,,,,10295,14,22,33,34,22,25,39,10295,,20.000,,30.000,,,,10295,,4,,2,,,
17611,276,136,220,257,183,63,69,,,,,,,,,,,,,,,,,17611,17,23,21,21,17,17,11,17611,0.000,,,,25.000,,20.000,17611,1,,,,2,,5
15611,219,219,182,79,113,117,87,15611,,,,,,1,,,,,,,,,,15611,26,27,24,19,20,22,21,15611,25.000,9.000,,7.000,5.000,,,15611,2,1,,2,1,,
12094,154,159,185,184,212,218,278,12094,,,,,1,1,,,,,,,,,,12094,32,32,33,30,27,26,27,12094,25.000,35.714,,15.000,25.000,26.666,23.461,12094,1,15,,13,2,8,44
21935,19,10,4,5,21,,,,,,,,,,,,,,,,,,,21935,14,12,6,8,11,1,0,21935,,,,,25.000,,,21935,,,,,2,,
10167,56,45,34,26,19,3,,,,,,,,,,,,,,,,,,10167,37,32,35,28,25,9,0,10167,,25.000,,100.000,,,,10167,,2,,1,,,
16797,155,173,137,196,337,184,305,,,,,,,,,,,,,,,,,16797,33,39,39,40,38,40,40,16797,,,,12.500,16.428,,26.000,16797,,,,2,27,,33
18544,440,321,296,217,217,225,139,,,,,,,,,18544,,1,,4,,,,18544,20,19,23,20,22,16,18,18544,25.000,,,,,20.000,10.000,18544,2,,,,,3,2
12229,189,117,89,132,136,66,172,12229,,,,,,1,,12229,,,1,,3,,,12229,22,21,20,8,20,10,18,12229,,,,25.454,0.000,20.000,,12229,,,,29,2,2,
22489,68,64,38,62,53,12,,,,,,,,,,,,,,,,,,22489,21,23,20,20,23,5,0,22489,,,,46.666,,,,22489,,,,7,,,
21448,449,296,228,297,370,349,307,,,,,,,,,,,,,,,,,21448,28,26,21,22,30,25,19,21448,25.000,25.000,40.000,24.285,,22.857,6.666,21448,2,3,2,11,,11,5
25302,,,,,67,24,127,,,,,,,,,,,,,,,,,25302,,,,0,21,5,29,25302,,,,,,,20.000,25302,,,,,,,3
25676,,,,,13,115,125,,,,,,,,,,,,,,,,,25676,,,,,0,9,14,25676,,,,,,25.000,,25676,,,,,,4,
17495,97,142,45,6,,,,,,,,,,,,,,,,,,,,17495,7,9,2,0,,,,17495,0.000,,,,,,,17495,1,,,,,,
12511,141,239,111,126,227,301,286,12511,1,6,1,4,2,7,4,12511,6,10,3,3,8,5,11,12511,21,27,10,12,22,30,27,12511,,,,,,0.000,10.000,12511,,,,,,2,1
19803,1036,440,341,754,466,622,465,19803,,,1,,,,,,,,,,,,,19803,42,25,24,38,33,35,35,19803,25.000,,21.666,28.571,,,,19803,2,,8,60,,,
18825,80,69,144,62,72,47,35,18825,1,,,1,1,,,,,,,,,,,18825,29,34,31,29,42,40,38,18825,25.000,,33.125,25.000,,33.571,15.000,18825,2,,39,15,,14,20
9558,655,674,304,208,659,457,262,9558,1,,1,,,,,,,,,,,,,9558,33,31,22,22,30,19,21,9558,,30.000,25.000,29.166,28.750,30.000,3.333,9558,,50,2,12,8,33,5
12992,441,482,538,611,403,458,460,12992,4,2,3,,1,,,,,,,,,,,12992,41,37,34,33,40,38,37,12992,25.000,21.000,,20.000,,23.750,10.000,12992,4,28,,5,,7,2
25424,,,,10,31,173,187,,,,,,,,,,,,,,,,,25424,,,,0,7,20,17,25424,,,,,25.000,,,25424,,,,,2,,
9287,146,200,212,283,219,257,210,9287,,1,4,1,,,,9287,,,2,3,,,,9287,39,49,41,37,41,39,41,9287,,33.125,25.000,29.166,28.750,29.285,28.000,9287,,21,1,6,5,7,16
23188,397,371,322,367,248,231,291,23188,,,,1,1,,,23188,,,,,1,,,23188,19,23,18,17,15,15,24,23188,12.500,,200.000,65.000,,0.000,10.000,23188,2,,1,2,,2,2
23821,120,491,613,229,218,255,322,,,,,,,,,,,,,,,,,23821,12,15,26,21,21,18,28,23821,,,,,,,10.000,23821,,,,,,,1
22857,197,187,224,164,177,75,94,22857,1,,2,,,,1,,,,,,,,,22857,27,30,28,25,31,24,33,22857,,26.111,3.636,22.500,20.000,,,22857,,27,26,8,5,,
5763,108,50,121,85,92,56,81,5763,1,1,,,,,,,,,,,,,,5763,18,10,18,10,15,9,21,5763,0.000,,200.000,50.000,150.000,20.000,,5763,1,,1,3,2,2,
13959,193,188,186,82,136,229,61,,,,,,,,,,,,,,,,,13959,22,19,25,20,17,23,2,13959,25.000,,13.333,10.000,,,,13959,3,,10,1,,,
20554,40,66,143,78,108,167,69,,,,,,,,,,,,,,,,,20554,27,28,30,24,19,24,21,20554,,,0.000,65.000,25.000,23.750,,20554,,,5,6,4,13,
23503,690,589,544,653,420,542,397,,,,,,,,,,,,,,,,,23503,22,22,15,18,11,17,14,23503,13.888,0.000,200.000,76.666,87.500,40.000,10.000,23503,10,1,1,3,3,1,1
22701,37,124,73,36,27,31,11,,,,,,,,,,,,,,,,,22701,34,36,41,31,27,31,36,22701,,34.285,13.333,15.000,17.500,30.454,,22701,,58,24,3,10,34,
22337,265,303,245,310,343,102,149,22337,1,,4,,1,1,,22337,2,,,,,,,22337,29,31,25,45,45,28,41,22337,,,33.333,5.000,,27.857,20.000,22337,,,6,4,,7,5
23180,488,424,546,424,455,524,649,,,,,,,,,,,,,,,,,23180,15,7,15,14,10,13,17,23180,100.000,,200.000,100.000,,,,23180,1,,1,2,,,
24279,,22,33,82,75,34,,,,,,,,,,,,,,,,,,24279,,8,8,13,10,4,0,24279,,,0.000,15.000,,,,24279,,,1,3,,,
22964,133,129,88,104,207,114,131,,,,,,,,,,,,,,,,,22964,22,27,21,19,22,17,16,22964,25.000,,7.000,7.000,,,,22964,2,,1,2,,,
21311,78,129,135,201,181,17,65,,,,,,,,,21311,,1,,,,,,21311,22,24,17,25,17,3,12,21311,25.000,,,27.500,15.000,,,21311,1,,,18,6,,
22595,6,,3,,,,,,,,,,,,,,,,,,,,,22595,9,15,11,0,,,,22595,25.000,,,,,,,22595,1,,,,,,
18114,78,107,65,80,42,35,18,,,,,,,,,,,,,,,,,18114,15,18,12,23,15,11,12,18114,,12.500,15.000,26.666,18.333,,,18114,,4,3,6,7,,
15365,337,232,254,152,145,194,172,,,,,,,,,15365,1,,,,5,,,15365,29,28,22,18,23,16,21,15365,25.000,,,,,,,15365,1,,,,,,
25178,,,,81,240,7,,,,,,,,,,,,,,,,,,25178,,,,4,18,0,0,25178,,,,,0.000,,,25178,,,,,1,,
23228,1573,1321,1692,1754,1548,1185,1476,23228,1,2,,,1,,,23228,,,1,,,,,23228,28,19,23,18,25,19,19,23228,0.000,,11.428,,0.000,,,23228,1,,24,,1,,
12079,169,106,155,351,537,512,353,12079,1,,,,,3,1,12079,,,,,2,1,2,12079,21,20,21,39,35,40,32,12079,25.000,,,,10.714,0.000,,12079,1,,,,10,1,
17254,85,40,30,46,50,154,165,17254,1,,,,,,,,,,,,,,,17254,25,21,10,0,13,24,28,17254,25.000,,7.000,8.000,,,20.000,17254,2,,1,8,,,12
21608,2237,1470,924,797,856,800,1057,21608,,,,,1,,,21608,,,,1,,,,21608,33,28,23,24,25,25,25,21608,100.000,,200.000,50.000,75.000,,,21608,2,,1,2,2,,
24894,,,12,469,553,495,419,24894,,,,,1,3,,,,,,,,,,24894,,,0,29,23,26,25,24894,,,,20.000,30.416,,0.000,24894,,,,2,73,,5
5933,218,71,148,35,106,100,58,,,,,,,,,,,,,,,,,5933,22,12,12,12,16,21,14,5933,22.000,,,,,,,5933,3,,,,,,
20826,148,196,206,207,239,277,439,20826,,1,2,1,,,,20826,3,,5,7,2,,,20826,22,22,34,24,33,35,34,20826,,,,11.000,,27.500,27.000,20826,,,,14,,4,24
23571,574,172,64,143,412,568,337,,,,,,,,,,,,,,,,,23571,38,20,13,17,27,35,16,23571,,,,27.142,,26.666,21.562,23571,,,,23,,7,79
9913,208,347,292,271,408,251,354,9913,,,,,2,,1,9913,,,,,,,2,9913,14,20,19,28,27,13,36,9913,25.000,25.000,20.000,32.000,28.750,26.875,25.000,9913,2,31,5,7,8,18,10
21366,153,183,203,125,137,123,226,21366,,,,1,1,,,,,,,,,,,21366,40,35,47,46,42,33,52,21366,,21.666,16.000,8.000,19.285,21.250,5.000,21366,,5,2,4,12,14,3
16446,63,127,17,,,,,,,,,,,,,,,,,,,,,16446,13,18,8,0,,0,,16446,25.000,17.500,,,,,,16446,2,35,,,,,
22494,121,102,3,,,,,,,,,,,,,22494,,1,,,,,,22494,18,12,0,0,,,,22494,62.500,12.500,,,,,,22494,4,4,,,,,
16711,216,249,214,133,185,396,410,16711,1,,1,,,,,,,,,,,,,16711,21,19,15,12,19,24,20,16711,25.000,23.125,25.000,15.000,28.750,24.500,12.000,16711,1,18,2,5,4,11,13
6252,66,98,66,128,60,71,73,6252,,1,,,,,,6252,,14,,,,5,,6252,38,40,40,27,29,25,34,6252,,,15.000,22.272,25.000,27.500,20.625,6252,,,1,38,2,3,17
20090,263,209,194,252,243,174,200,,,,,,,,,,,,,,,,,20090,26,25,30,31,23,27,25,20090,25.000,,,,25.000,,,20090,2,,,,4,,
25926,,,,,9,135,126,,,,,,,,,,,,,,,,,25926,,,,,0,9,5,25926,,,,,,27.500,20.000,25926,,,,,,10,1
24896,,,1,298,432,285,448,24896,,,,1,1,,,,,,,,,,,24896,,,0,9,8,11,20,24896,,,,,25.000,,0.000,24896,,,,,3,,1
10097,201,102,304,288,377,500,414,,,,,,,,,,,,,,,,,10097,17,9,19,13,15,25,26,10097,,,,,25.000,,,10097,,,,,1,,
12988,859,577,250,436,528,614,659,,,,,,,,,,,,,,,,,12988,27,26,13,20,37,41,41,12988,50.000,,200.000,100.000,25.000,19.166,17.500,12988,3,,1,1,2,10,7
26268,,,,,,32,66,26268,,,,,,,1,,,,,,,,,26268,,,,,,14,30,26268,,,,,,,25.000,26268,,,,,,,4
18435,144,90,83,141,119,280,191,18435,1,,1,,,,,,,,,,,,,18435,34,21,23,23,23,29,22,18435,0.000,,,,,,,18435,3,,,,,,
24061,10,754,888,619,841,723,925,,,,,,,,,,,,,,,,,24061,0,20,16,12,21,13,17,24061,,25.000,,,21.000,,11.666,24061,,2,,,5,,9
20280,272,344,284,192,225,237,233,20280,,,,,,1,,,,,,,,,,20280,35,39,36,31,28,33,34,20280,25.000,,,,,,,20280,2,,,,,,
