userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
12054,3,12,23,,,4,,12054,,1,,,,,,,,,,,,,,12054,24,25,21,7,26,12,19,12054,,,15.000,,,,,12054,,,1,,,,
12019,33,38,16,,,,,,,,,,,,,,,,,,,,,12019,33,25,24,0,,,,12019,,20.000,,,,,,12019,,3,,,,,
24006,,60,60,58,56,21,31,,,,,,,,,,,,,,,,,24006,0,14,10,19,14,13,19,24006,,,7.000,8.000,5.000,,,24006,,,3,4,1,,
20335,228,,,,,,,,,,,,,,,,,,,,,,,20335,14,0,0,0,,,,20335,9.500,,,,,,,20335,2,,,,,,
10266,349,326,319,179,317,253,177,,,,,,,,,,,,,,,,,10266,31,27,25,26,28,25,24,10266,25.000,,,,,,,10266,2,,,,,,
22433,,21,9,91,317,210,558,,,,,,,,,,,,,,,,,22433,10,21,16,30,31,26,27,22433,,,,,,,26.000,22433,,,,,,,13
25698,,,,,,463,169,,,,,,,,,,,,,,,,,25698,,,,,14,42,30,25698,,,,,,25.000,10.000,25698,,,,,,2,2
12424,74,131,128,,,,,,,,,,,,,,,,,,,,,12424,22,22,13,0,,,,12424,25.000,,,,,,,12424,5,,,,,,
20587,404,264,163,208,221,239,147,20587,3,1,,2,,1,,20587,6,2,2,9,9,4,,20587,30,22,18,18,19,15,13,20587,25.000,,,,,27.000,,20587,2,,,,,2,
24256,,,15,91,75,77,79,,,,,,,,,,,,,,,,,24256,,,0,9,6,14,4,24256,,,0.000,,25.000,,,24256,,,3,,4,,
22891,1376,861,931,552,322,1355,1054,22891,,1,,,,,,,,,,,,,,22891,26,18,23,22,15,25,26,22891,,,,20.000,,,30.357,22891,,,,30,,,74
24220,,3,,18,33,183,417,,,,,,,,,,,,,,,,,24220,,14,19,16,15,15,16,24220,,,,,,,20.294,24220,,,,,,,58
25230,,,,48,358,374,629,,,,,,,,,,,,,,,,,25230,,,,8,20,19,38,25230,,,,100.000,25.000,,17.222,25230,,,,1,2,,19
18989,151,87,95,155,172,63,44,,,,,,,,,18989,1,,,,,,,18989,38,20,26,32,22,27,25,18989,,,,,25.000,,,18989,,,,,2,,
24013,,,15,27,45,59,44,,,,,,,,,,,,,,,,,24013,,0,11,15,22,6,13,24013,,,,50.000,,,,24013,,,,2,,,
23773,3,25,44,32,19,,,,,,,,,,,,,,,,,,,23773,2,15,15,9,7,11,7,23773,,,,,0.000,,,23773,,,,,2,,
18576,170,98,124,109,134,148,156,,,,,,,,,,,,,,,,,18576,19,11,10,18,17,22,19,18576,,,,,,,14.705,18576,,,,,,,28
9506,408,329,118,292,200,326,422,9506,,,,,,,1,9506,,,,,,1,1,9506,39,38,30,32,27,34,36,9506,,,,15.000,,11.000,26.000,9506,,,,3,,18,51
25280,,,,57,211,346,293,25280,,,,,2,3,1,25280,,,,,4,1,3,25280,,,,9,16,21,23,25280,,,,,,,21.388,25280,,,,,,,53
17970,40,14,,,,,,,,,,,,,,,,,,,,,,17970,10,9,0,0,,,,17970,0.000,,,,,,,17970,12,,,,,,
20463,124,124,86,91,76,,,,,,,,,,,,,,,,,,,20463,21,27,21,16,14,3,0,20463,,,20.000,23.333,,,,20463,,,11,7,,,
20641,147,117,101,111,116,150,2,20641,,,,1,,,,,,,,,,,,20641,15,13,15,12,12,17,0,20641,,,17.400,28.500,15.000,21.000,,20641,,,11,4,5,6,
22930,444,279,301,323,294,141,104,22930,,,,,3,,,,,,,,,,,22930,27,24,22,26,25,20,13,22930,,,,10.000,,,,22930,,,,4,,,
8809,146,67,80,69,127,76,70,,,,,,,,,,,,,,,,,8809,29,19,15,21,24,21,24,8809,,,,5.000,25.000,25.000,,8809,,,,5,1,2,
12690,263,191,180,341,124,194,203,,,,,,,,,,,,,,,,,12690,21,16,21,20,21,17,23,12690,0.000,,15.000,40.000,,0.000,,12690,1,,3,96,,1,
